Date,Close/Last,Volume,Open,High,Low,newclose,newhigh,newopen
12/2/2021,$163.76,136739200,$158.735,$164.2,$157.8,163.76, 164.2,158.735
12/1/2021,$164.77,152423000,$167.48,$170.3,$164.53,164.77, 170.3, 167.48
11/30/2021,$165.3,174048100,$159.985,$165.52,$159.92,165.3, 165.52, 159.985
11/29/2021,$160.24,88748220,$159.37,$161.19,$158.7901,160.24, 161.19, 159.37
11/26/2021,$156.81,76959750,$159.565,$160.45,$156.36,156.81, 160.45, 159.565
11/24/2021,$161.94,69463620,$160.75,$162.14,$159.64,161.94, 162.14, 160.75
11/23/2021,$161.41,96041900,$161.12,$161.8,$159.0601,161.41, 161.8, 161.12
11/22/2021,$161.02,117467900,$161.68,$165.7,$161,161.02, 165.7, 161.68
11/19/2021,$160.55,117305600,$157.65,$161.02,$156.5328,160.55, 161.02, 157.65
11/18/2021,$157.87,137827700,$153.71,$158.67,$153.05,157.87, 158.67, 153.71
11/17/2021,$153.49,88807000,$150.995,$155,$150.99,153.49, 155, 150.995
11/16/2021,$151,59256210,$149.94,$151.488,$149.34,151, 151.488, 149.94
11/15/2021,$150,59222800,$150.37,$151.88,$149.43,150, 151.88, 150.37
11/12/2021,$149.99,63804010,$148.43,$150.4,$147.48,149.99, 150.4, 148.43
11/11/2021,$147.87,40999950,$148.96,$149.43,$147.681,147.87, 149.43, 148.96
11/10/2021,$147.92,65187090,$150.02,$150.13,$147.85,147.92, 150.13, 150.02
11/9/2021,$150.81,56787930,$150.2,$151.428,$150.0601,150.81, 151.428, 150.2
11/8/2021,$150.44,55020870,$151.41,$151.57,$150.16,150.44, 151.57, 151.41
11/5/2021,$151.28,65463880,$151.89,$152.2,$150.06,151.28, 152.2, 151.89
11/4/2021,$150.96,60394620,$151.58,$152.43,$150.64,150.96, 152.43, 151.58
11/3/2021,$151.49,54511530,$150.39,$151.97,$149.82,151.49, 151.97, 150.39
11/2/2021,$150.02,69121990,$148.66,$151.57,$148.65,150.02, 151.57, 148.66
11/1/2021,$148.96,74588260,$148.985,$149.7,$147.8,148.96, 149.7, 148.985
10/29/2021,$149.8,124953200,$147.215,$149.94,$146.4128,149.8, 149.94, 147.215
10/28/2021,$152.57,100077900,$149.82,$153.165,$149.72,152.57, 153.165, 149.82
10/27/2021,$148.85,56094930,$149.36,$149.73,$148.49,148.85, 149.73, 149.36
10/26/2021,$149.32,60893400,$149.33,$150.84,$149.0101,149.32, 150.84, 149.33
10/25/2021,$148.64,50720560,$148.68,$149.37,$147.6211,148.64, 149.37, 148.68
10/22/2021,$148.69,58883440,$149.69,$150.18,$148.64,148.69, 150.18, 149.69
10/21/2021,$149.48,61420990,$148.81,$149.64,$147.87,149.48, 149.64, 148.81
10/20/2021,$149.26,58418790,$148.7,$149.7539,$148.12,149.26, 149.7539, 148.7
10/19/2021,$148.76,76378890,$147.01,$149.17,$146.55,148.76, 149.17, 147.01
10/18/2021,$146.55,85589180,$143.445,$146.84,$143.16,146.55, 146.84, 143.445
10/15/2021,$144.84,67940330,$143.77,$144.895,$143.51,144.84, 144.895, 143.77
